Date,AAPL,GOOGL,MSFT,AMZN,FB,,,,,,,,,,
10/22/2019,239.9600067,1241.199951,136.3699951,1765.72998,182.3399963,-0.549987793,-3.080078125,-2.059997559,-19.93005371,-7.419998169,,TRUE,,,
10/23/2019,243.1799927,1257.630005,137.2400055,1762.170044,186.1499939,3.219985962,16.43005371,0.870010376,-3.559936523,3.809997559,,FALSE,,,
10/24/2019,243.5800018,1259.109985,139.9400024,1780.780029,186.3800049,0.400009155,1.479980469,2.699996948,18.60998535,0.230010986,,TRUE,,,
10/25/2019,246.5800018,1264.300049,140.7299957,1761.329956,187.8899994,3,5.190063477,0.789993286,-19.45007324,1.509994507,,FALSE,,,
10/28/2019,249.0500031,1288.97998,144.1900024,1777.079956,189.3999939,2.470001221,24.67993164,3.460006714,15.75,1.509994507,,TRUE,,,
10/29/2019,243.2899933,1260.660034,142.8300018,1762.709961,189.3099976,-5.760009766,-28.31994629,-1.36000061,-14.36999512,-0.089996338,,TRUE,,,
10/30/2019,243.2599945,1260.699951,144.6100006,1779.98999,188.25,-0.029998779,0.039916992,1.779998779,17.2800293,-1.059997559,,FALSE,,,
10/31/2019,248.7599945,1258.800049,143.3699951,1776.660034,191.6499939,5.5,-1.899902344,-1.240005493,-3.329956055,3.399993896,,FALSE,,,
11/1/2019,255.8200073,1272.25,143.7200012,1791.439941,193.6199951,7.060012817,13.44995117,0.350006104,14.77990723,1.970001221,,TRUE,,,
11/4/2019,257.5,1289.609985,144.5500031,1804.660034,194.7200012,1.679992676,17.35998535,0.830001831,13.22009277,1.100006104,,TRUE,,,
11/5/2019,257.1300049,1291.439941,144.4600067,1801.709961,194.3200073,-0.369995117,1.829956055,-0.089996338,-2.950073242,-0.399993896,,FALSE,,,
11/6/2019,257.2399902,1291.01001,144.0599976,1795.77002,191.5500031,0.109985352,-0.429931641,-0.400009155,-5.939941406,-2.770004272,,FALSE,,,
11/7/2019,259.4299927,1306.939941,144.2599945,1788.199951,190.4199982,2.190002441,15.92993164,0.199996948,-7.570068359,-1.130004883,,FALSE,,,
11/8/2019,260.1400146,1309,145.9600067,1785.880005,190.8399963,0.710021973,2.060058594,1.700012207,-2.319946289,0.419998169,,FALSE,,,
11/11/2019,262.2000122,1298.280029,146.1100006,1771.650024,189.6100006,2.059997559,-10.7199707,0.149993896,-14.22998047,-1.229995728,,FALSE,,,
11/12/2019,261.9599915,1297.209961,147.0700073,1778,194.4700012,-0.240020752,-1.070068359,0.960006714,6.349975586,4.86000061,,FALSE,,,
11/13/2019,264.4700012,1296.180054,147.3099976,1753.109985,193.1900024,2.510009766,-1.029907227,0.239990234,-24.89001465,-1.279998779,,FALSE,,,
11/14/2019,262.6400146,1309.150024,148.0599976,1754.599976,193.1499939,-1.829986572,12.9699707,0.75,1.489990234,-0.040008545,,FALSE,,,
11/15/2019,265.7600098,1333.540039,149.9700012,1739.48999,195.1000061,3.119995117,24.39001465,1.910003662,-15.10998535,1.950012207,,FALSE,,,
11/18/2019,267.1000061,1319.839966,150.3399963,1752.530029,197.3999939,1.339996338,-13.70007324,0.369995117,13.04003906,2.299987793,,FALSE,,,
11/19/2019,266.2900085,1312.589966,150.3899994,1752.790039,199.3200073,-0.809997559,-7.25,0.050003052,0.260009766,1.920013428,,FALSE,,,
11/20/2019,263.1900024,1301.859985,149.6199951,1745.530029,197.5099945,-3.100006104,-10.72998047,-0.770004272,-7.260009766,-1.810012817,,TRUE,,,
11/21/2019,262.0100098,1300.140015,149.4799957,1734.709961,197.9299927,-1.179992676,-1.719970703,-0.13999939,-10.82006836,0.419998169,,FALSE,,,
